doc_id,hotel_name,reviewer_score,text_excerpt
75,Hyatt Regency Paris Etoile,7.1,The view compansate all the flaws Defenetely need a refurbishment
76,Hotel Casa Fuster G L Monumento,9.6,Hotel building is wonderful Very nice Room Bar superb Best breakfast posible Room Service perfect Location next to Passeig de Gracia and Rambla catalunya could not be better
77,Hotel Barcelona Catedral,10.0,We had such a great experience here The staff was so welcoming and accommodating to us My husband and I were traveling with our nine month old and they were really wonderful in accomedating the baby One day they even ...
78,DoubleTree by Hilton Hotel London Tower of London,10.0,Great location Bed a bit hard for us
79,Hallmark Hotel London Chigwell Prince Regent,7.5,We booked 2 superior rooms and one double There were 4 adults and 3 teenagers Upon arrival we were told that the rooms were not made up for families and had to wait whilst they put extra beds in 2 of the rooms One roo...
80,TWO Hotel Barcelona by Axel 4 Sup Adults Only,10.0,Excellent stay loved it Can t wait to come back A
81,Britannia International Hotel Canary Wharf,6.3,Long wait for check in arrived at 6 30pm and gained entry at 9pm
82,DoubleTree by Hilton Hotel London Tower of London,8.8,The views from the Sky Lounge were amazing Check in seemed unnecessarily time consuming leading to queues Took 25 mins between arriving at hotel and getting to room
83,Hotel Berna,9.6,Location is great next to railway and metro links Very generous continental breakfast and comfortable room Room quite small at front of hotel and at times quite noisey
84,Petit Palace Boqueria Garden,7.9,Free coffee if wanted during breakfast without eating the large buffet Inner garden Blue lights in our hall Friendly staff Newer room Great shower Comp bikes though we didn t use them No time So close to the market
85,Novotel London Paddington,9.2,Beds were really comfy and hotel was spotless
86,Best Western Palm Hotel,7.5,Clean was really spacious and lovely room Only one person was at the reception had to wait around 8 11mins to be spoken to location is the middle of a dual carriage
87,Strand Palace Hotel,9.6,Location accommodation and breakfast all excellent Check in and check out very efficient Very pleasant lounge and foyer area 9 50 for a Bailey s seems a little pricey
88,Hotel Ronda Lesseps,7.9,Easy to reach from and to airport by metro with few minutes from Lesseps station walk to hotel Also it s close to Guadi s Park Guell famous tourist spot Staff is very nice and hotel is very facilite Semi transparent w...
89,Four Seasons Hotel London at Park Lane,6.7,Location is excellent to shopping dining plays Tube etc The use of the driver was wonderful Do not always have this at other Four Seasons Great benefit This Four Seasons does NOT compare to the other Four Seasons we v...
90,Mercure Paris Centre Tour Eiffel,10.0,Amazing hotel free upgraded room I would have loved to have a room facing the Eiffel tower
91,Radisson Blu Edwardian Sussex,8.8,Size of the business room was really good Tube station and Oxford street are near Very quite regardless of the busy location The express check out service was really good The lobby is kind of small and the reception c...
92,Park Plaza County Hall London,9.2,Really comfortable bed The staff especially the concierge are very friendly and knowledgeable about the local area The gym is excellent
93,The Cranley Hotel,7.1,Great atmoshpere and location Average staff Basement room is totally affected by the smells of the surroundings ktichens and services located in the building
94,Rathbone,8.8,Le style est tr s agr able Laundry is very expensive and wifi is not free
95,Hotel Roemer Amsterdam,9.6,Very welcoming and helpful on arrival Nothing not to like
96,Best Western Premier Op ra Faubourg Ex Hotel Jules ,9.6,Decor Small rooms
97,INK Hotel Amsterdam MGallery by Sofitel,10.0,The bed was amazing really comfortable and made me not want to get up the staff were very friendly and nothing was to much they even gave a free upgrade as I was going to propose to my girlfriend Loved every minute of...
98,Catalonia Atenas,8.8,The breakfast was excellent superb choices The bed was very comfortable and we had a choice of pillows The size of the swimming pool it was more of a plunge pool
99,Holiday Inn London Kensington,8.8,Staff were extremely welcoming especially the gentleman at the door steps into the hotel Always smiling Staff overall were extremely helpful
100,Boutique Hotel Notting Hill,5.4,Free wifi Rude staff on arrival Our room was not ready on arrival at 8pm even though we were able to check in from 3pm
101,Clayton Hotel Chiswick,7.5,The ambience was very good
102,K K H tel Cayr Saint Germain des Pr s,10.0,Location breakfast structure
103,NH Collection Amsterdam Grand Hotel Krasnapolsky,9.2,Excellent location nice rooms great breakfast buffet helpful personnel Air conditioning in the room is not powerful enough and the room gets very hot during a hot day over 25 C
104,Amadi Park Hotel,9.6,Pleasant modern hotel ideally situated for City centre Friendly helpful staff Good tasty freshly prepared breakfast Excellent facilities Cleaners perhaps need to pay a little more attention to detail
105,Hotel K nig von Ungarn,8.8,Location staff cleanliness breakfast and many more The bed lost its firmness in the middle a new one makes this room perfect
106,Pullman Paris Centre Bercy,10.0,The hotel the staff and location are fantastic Quiet gracious room I felt very safe at this hotel I am glad that I spent my holiday here
107,Park Grand London Lancaster Gate,9.2,The linens were lovely The rooms are very tiny but the staff is great and the breakfast was delightful Wish the rooms were not so tiny
108,Nhow Milan,7.5,Very clean and amazing modern design 15 mins walk to the nearest metro
109,Novotel Suites Paris Expo Porte de Versailles,9.6,Value for money Same breakfast everyday
110,Park Plaza Victoria London,9.2,Bathroom washbasin was very poor condition compared to bedroom and rest of bathroom
111,Hilton London Bankside,10.0,Pool it was fabulous and the clean fragrance smell as walk into the hotel
112,Threadneedles Autograph Collection,10.0,We had a fantastic stay at this beautiful hotel The staff could not do enough for you Stunning inside beautiful room Will definitely return
113,Park Plaza County Hall London,9.6,Fabulous ad swift check in great staff and great customer service and wow what a view Loved it all
114,Jaz Amsterdam,10.0,Location was exactly next to the Ziggo Dome and like 50 meters from the Amsterdam ArenA After the concert they cleaned for half an hour but we had no problems with any noise It was a real modern looking hotel A large ...
115,Senator Barcelona Spa Hotel,4.6,Breakfast is okay Outdated hotel and rooms not all personnel speaks English fluently Once my room smell like cigarettes after cleaning
116,Intercontinental London The O2,9.6,Came to spend the night here for my partners birthday I had contacted the hotel prior to our stay to see if they could decorate the room upon arrival which they did They sent a beautiful complimentary birthday cake to...
117,Radisson Blu Edwardian Grafton,8.8,all staff extremely friendly and helpful felt a bit pressurised by housekeepers to vacate by 11 Sunday
118,Pol Grace Hotel,10.0,Cleanliness and lovely breakfast staff friendly
119,Radisson Blu Edwardian Vanderbilt,8.8,Great staff More electrical outlets and a mirror around one of the outlets eg for use with the hairdryer
120,Holiday Inn Paris Gare de l Est,4.6,The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card ca...
121,Holiday Inn London Bloomsbury,5.8,The location is good The reception clerks English was too Bad to understand My room was bed only I was asked if I want breakfast so I said tomorrow yes the day after I l see so I was asked for my credit card and was i...
122,Hotel Casa Fuster G L Monumento,7.0,The location is very good The staff That is the most important thing in a hotel or at least in a luxury hotel I m still waiting for something I asked them They said they will call me back and I m still waiting
123,Hazlitt s,9.6,Love the staff the library
124,Conservatorium Hotel,6.7,Amazing detail Photos didn t match the room that I had
125,The Marylebone Hotel,9.6,I enjoyed the whole experience it was a luxury experience The room was luxurious and met my every need but it was just too small
126,Paris Marriott Champs Elysees Hotel,5.8,Location Staf
127,Hotel Da Vinci,8.8,Great breakfast and very kind personnel Spacy rooms Good be in a better maintenance
128,Hotel Marignan Champs Elys es,9.6,Everything was perfect Small elevator only but not a big deal
129,Royal Garden Champs Elysees,4.2,Strategic location 10 min walk to L Arc de Triumph 40 min to Eiffel Tower Close to metro acces Champ DElisee Tasty varieties of foods for breakfast nice staff Not so clean rooms we had aunts in the room not so clean b...
130,Hotel Mozart,10.0,The staff were wonderfully friendly and helpful particularly the bar tender who gets 10 10 for being so nice and the reception staff At breakfast the staff wouldn t let me move a small table so I could sit with my col...
131,M by Montcalm Shoreditch London Tech City,9.6,Extra fluffy comfortable beds Staff very obliging and happy to give me a free room upgrade Spa is amazing complete with a pool sauna steam room and ice room for cooling down Great for beating that London chill Noticed...
132,Radisson Blu Hotel Amsterdam,9.5,breakfast was perfect location was perfect
133,Strand Palace Hotel,9.6,Pricey for 2 people
134,Blakemore Hyde Park,9.2,The hotel is located in a relatively quiet neighborhood near Hyde Park An Underground station is nearby so you can reach any major London attraction fairly quickly The staff was very professional and friendly Our room...
135,The Park Tower Knightsbridge a Luxury Collection Hotel,9.6,easy to park quick to check in and breakfast was good I did request a high level room with amazing views as I have stayed there before but the room was low level with lots of road noise and a very very large mechanica...
136,The Grosvenor,10.0,the location
137,Best Western Plus Seraphine Hammersmith Hotel,8.3,Bathroom was amazing lovely shower and bed was really comfy
138,Hotel Barcelona Center,6.7,Great location firm nice beds The cleaning of the rooms was problematic We were away from the room until 16 00 and the room was not cleaned until then and after they would clean around 17 00 so if you were at the room...
139,Holiday Inn London Oxford Circus,6.3,I run out of shower gel while in the shower I had to wash my hair with hand soap bar available which wasn t very good for the hair
140,Avenida Palace,10.0,The staff are amazing and the location is great The lobby is lovely and we stay here each time we come to Barcelona While a large hotel you feel like it is a boutique hotel due to the staff The bathroom is spacious an...
141,Commodore Hotel,3.3,Not very much The hotel is dated the condition of the common areas is poor The carpet are worn stained and dirty The carpet in the rooms are in a similar condition On the day night of my stay there was no hot water an...
142,Rosa Grand Milano Starhotels Collezione,9.2,perfect location there is no iron in the room and when I called they said no we don t put iron in the room for safty purposes we iron it and its charged where other hotels they have in the room and its free
143,Amadi Panorama Hotel,8.3,The bathroom was amazing Big tub with jets Very up to date Room was nice too minus the carpet Carpet was the only thing they didn t remodel or something very stained Tram station is a 2 minute walk and then a 10 min r...
144,Shangri La Hotel at The Shard London,9.6,Warm toilet seat Warm bathroom floor Dark blinds View from the room
145,The Tower A Guoman Hotel,8.8,Super friendly staff We had a room facing tower bridge which was fantastic We stayed here 2 years ago and our room faced St Katherine s Dock which was also lovely but the view this time couldn t have been better 5 cha...
146,Catalonia Plaza Catalunya,7.9,Location friendly staff Restaurant food not tasty
147,Monument Hotel,9.6,The staff were really nice and friendly
148,My Bloomsbury,7.9,It was pleasant Had booked for 5 nights Aircon was not woking for 3 nights Non functional ac
149,Clayton Crown Hotel London,9.6,Comfortable bed very helpful and friendly staff Good Cask Ale in the bar The City Fans The Liverpool Fans just joking
150,Apollo Hotel Amsterdam,8.3,The restaurant bar decor is quite nice the room is comfortable and we got a nice view to the canal The breakfast is overpriced I understand that 4 5 star hotels usually have a pricier buffet however there weren t many...
151,Hotel Kavalier,8.8,Managers are all kind and good served breakfast the workers who work in the dining place are not that kind
152,Hampshire Hotel The Manor Amsterdam,7.9,A kind service and the cleanness is perfect For us was far for the centre but well connected with public transport
153,Silken Ramblas,7.1,the location is excellent paper thin walls prefab Can hear everything happening in the rooms next door
154,Blakemore Hyde Park,10.0,We were upgraded to executive room excellent with plenty of room very comfortable large bed Staff extremely attentive and nothing too much trouble Location ideal as quiet area next to park and 5 minute walk to Queensw...
155,Radisson Blu Portman Hotel London,7.5,bed and pillows excellent room was small with hardly any space to hang clothes
156,Catalonia Ramblas 4 Sup,10.0,Great customer service beautiful hotel and great location
157,Mercure Paris Tour Eiffel Pont Mirabeau,9.6,Excellent access to the Metro and RER a few meters walk Velib bike rack across the street marvellous breakfast with lots of options The staff were superb Easy transfer via RER from CDG airport and a short walk to our ...
158,Arion Cityhotel Vienna und Appartements,6.3,Priceworthy Staff at the breakfast buffet
159,Brunelleschi Hotel,7.9,It was raining on my arrival A staff member came out with an umbrella as I was getting out of the taxi and took my bags The reception staff were courteous and helpful The double room was pleasant and had everything I ...
160,Snob Hotel by Elegancia,8.3,Centrally located and beautifully decorated hotel Lovely welcome from the receptionist Close to metro station and plenty of restaurants Room was very small We were expecting small but this was even smaller than that N...
161,Park Plaza Westminster Bridge London,4.2,Never like anything at all about the hotel This hotel is shocking the staff can t speak a word of English and when order room service last night they sent me up cold chilli without no rice after waiting over a 1 hour ...
162,Hotel Esther a,9.2,This hotel is centrally located midway between the Centrael Train Station and the museums The hotel is beautiful inside both in the lobby and the rooms The air conditioning did not work well in the first room we were ...
163,Best Western Hotel Ascot,2.9,Location Staff are not friendly
164,The Hub Hotel,10.0,The staff were incredible Efficient So so friendly Lana and Lowendy helped us a ton The free schuttle from the hotel is a life saver so convenient and on time every hour I will definitely return to this hotel Absolute...
165,Catalonia Eixample 1864,10.0,The staff were especially helpful and friendly They even gave me a picnic breakfast on my last day because my departure was before the breakfast room opened They were very kind Nothing really Service was good Location...
166,Holiday Inn London Brent Cross,5.0,Space In car park Breakfast uncomfy bed puzzled staff
167,DoubleTree by Hilton London Westminster,3.3,The hotel was oversold and our room had been given away so we were put in a partially constructed room with loose wiring hanging from the wall We had reserved a room for our family of three but got only one double bed...
168,W Barcelona,9.2,Excellent room with an amazing view over the ocean and up the beach As always the facilities and staff at the W were exceptional Restricted space in the night club on the top floor even for hotel guests was not apprec...
169,Saint Georges Hotel,6.3,Location and perfect view from the room Very dirty with fungus on the ceiling in the bathroom
170,Thistle Euston,8.8,Staff helpful and friendly Breakfast wonderful Nothing at all a perfectly satisfactory stay
171,Holiday Inn London Kensington Forum,7.1,it was adequate to our needs
172,Holiday Inn London Brent Cross,6.7,Cleanliness I booked via booking com and specified that I would like to pay via cash on check out which I was told would be fine at the hotel However on check out the payment was taken from my card nonetheless I had l...
173,The Toren,9.6,Great attention and it was quite an experience to lodge in an old house from XVII century was that no I knew the space would be small but anyway I liked the room and their distribution Very nice personnel there and wa...
174,Best Western Op ra Batignolles,7.5,Great room
175,Pullman Barcelona Skipper,10.0,Just felt welcomed
176,Crowne Plaza London Docklands,8.5,The breakfast The shower and spa area
177,Amba Hotel Marble Arch,7.5,The room was specious and clean nothing not to love however the room service was noisy and the alarm went off couple of times
178,NH Collection Amsterdam Grand Hotel Krasnapolsky,8.3,Staff very helpful The card to open the door didn t work three different times
179,11 Cadogan Gardens,8.5,The staff so very helpful and friendly Edges along landing and furniture very dusty housekeeping could be better
180,The Montague On The Gardens,9.6,The bed was soooo comfortable and the ability to open the windows was added bonus
181,Catalonia Barcelona Plaza,8.8,location was outstanding and staff personnel were top of line our room was too hot the hotel switched into winter schedule and turned off the air conditioner That s the answer I got after complaining about the room te...
182,H10 Cubik 4 Sup,10.0,Great location brand new hotel rooms were so quiet Not enough cartons of milk in the room to use with the nespresso machine and a room service charge of over 3 if you ask for more
183,Best Western Plus Hotel Blue Square,8.3,The bed was really comfy The room was super clean and the amenities were nice metro station was really close
184,NH City Centre Amsterdam,10.0,Lovely modern hotel excellent breakfast and extreamly helpful staff
185,Park Plaza Westminster Bridge London,10.0,Beautiful hotel and location was perfect It was my 1st year anniversary and we were upgraded to an apartment free of charge The free upgrade was amazing however I would of been super happy with the perfect London view...
186,DoubleTree by Hilton London Docklands Riverside,10.0,Location and view were amazing Modern look Cookies on arrival are a lovely touch Air con in room could be better Also nobody answered when calling for room service numerous times
187,Best Western Plus Elys e Secret,10.0,Everything
188,DoubleTree by Hilton London Ealing,8.8,staff and the room toilet seat in the bathroom squashed in a very tight corner not comfortable
189,Lancaster London,7.1,Comfortable hotel service was good The fire alarm kept going off and I could not use the bathroom because it was too small
190,Holiday Inn London Stratford City,7.9,Well stocked breakfast buffet with wide selection of hot and cold foods Excellent location close to shops restaurants and transport links Confusion over rate change by receptionist however supervisor quickly and effic...
191,Jaz Amsterdam,10.0,Firstly great staff all really helpful and friendly bedrooms are large decor is funky food good guitars to pick up and play if you fancy it bar has a dj in the evening easy access to city Would return
192,Silken Gran Hotel Havana,10.0,Very central location we walked to most places It was close to metro 5 min walk
193,Best Western Plus Seraphine Hammersmith Hotel,7.9,Location was central No room service
194,Gran Hotel La Florida,6.3,The views from Barcelona are awesome and the room has a beautiful relaxed style and is pretty much comfortable The international breakfast is very good The staff is absolutely unfriendly They are so cold that it makes...
195,Best Western Palm Hotel,10.0,we liked your service and the cooperation of your staff
196,Barcel Raval,2.9,Nothing at all One of the worst places we have ever stayed for sure I have travelled all around the world but this place for sure deserves to be entitled campsite They are under staffed and over loaded You ask for som...
197,London Marriott Hotel West India Quay,10.0,Comfiest bed ever fantastic location and wonderful breakfast All good
198,IH Hotels Milano Gioia,8.8,Location was great and the breakfast was excellent The wifi wasn t too great unfortunately
199,Park Lane Mews Hotel,7.1,Good location Really small room Almost like an attic
200,Strand Palace Hotel,8.8,Staff were friendly and professional The facilities were clean comfortable and easy to use Every aspect of our stay was good or better
201,Cram,10.0,Tha staff was always helpfull great breakfast
202,The Lodge Hotel Putney,9.2,Breakfast food area has dangerous steps and a restricted passage to the seating area
203,Hotel degli Arcimboldi,5.8,Its location near M3 line to milan centre
204,Austria Trend Hotel Savoyen Vienna,8.8,Very clean Option of different pillows which was a nice touch Breakfast seemed very expensive so we opted not to take it in hotel
205,Novotel Barcelona City,9.2,Rooftop pool and bar are amazing Great place to chill with friends Rooms were not allocated correctly
206,Mercure Hotel Amsterdam City South,6.7,Bed was comfy lobby was very nice Rooms were no where near the standard of the lobby which was disappointing
207,Saint Georges Hotel,8.8,Location mainly plus the view Mattress very firm
208,Blakemore Hyde Park,10.0,All staff at the hotel were extremely polite and professional The decor was impressive and the hotel was beautifully decorated for Christmas Everywhere was spotlessly clean and the room was very comfortable The hotel ...
209,Intercontinental London The O2,10.0,What can I say First class service staff are amazing food is amazing loved it will Defo go back 5 star service Sky bar drinks are expensive that s all I can say But it s London so can t really say much
210,Mokinba Hotels Baviera,9.2,Florin the Best receptionist in the World
211,ADI Doria Grand Hotel,8.8,location comfortable room great breakfast maybe shuttle bus transfer for ppl with extra luggages
212,Melia White House Hotel,10.0,Quietness of the hotel and easy to locate friendly staff good location good night s sleep guaranteed
213,Golden Tulip Amsterdam Riverside,8.8,The rooms are so clean subway station is just 5minutes by car Parking should be free
214,Park Grand London Kensington,7.5,Staff facilities Very hot even with open window near a boiler maybe room 207 AC did not work Hole in the ceiling above the shower a bit unnerving 2x single beds connected instead of full bed
215,Holiday Inn London Kensington Forum,7.9,Ease of checking in and checking out Rips on edges of duvet cover no big light in room side lamp didn t work Surface crack in sink
216,Mercure Wien Zentrum,9.6,The hotel was very modern and the location was great The staff was very friendly and the breakfast was awesome The bathroom door was a modern sliding glass door which didn t make the bathroom as private as it could ha...
